"user_uid","group","factor","task","block","sim_id","question","pca_inter","manual_inter","resp_inter","plot_elapsed","ttr","response","answer","task_score","clust_score","intensity_score","line_score","concern","score"
"1_MU00163053_001","1","grand","1","1","203","How many clusters do you see?",1,1,5,0,"49","3","3",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","grand","1","2","209","How many clusters do you see?",1,1,6,0,"21","4","4",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","grand","1","3","215","How many clusters do you see?",1,1,5,0,"32","4","4",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","grand","2","1","204","Very important distinguishing clusters 'a' from 'b'",1,1,4,0,"90","V2, V3","V 4",NA,-15,-16,-12,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","grand","2","2","204","Somewhat important distinguishing clusters 'a' from 'b'",1,1,3,0,"61","V1, V2","V 1, V 4, V 6",NA,-14,-20,-12,"Some, task2 bc contains same var. 'somewhat' unselected by default",-2
"1_MU00163053_001","1","grand","2","3","204","Very important distinguishing clusters 'b' from 'c'",1,1,3,1,"125","V1, V2","V 8",NA,-14,-28,-12,"Some, task2 bc contains same var. 'somewhat' unselected by default",-2
"1_MU00163053_001","1","grand","2","1","204","Somewhat important distinguishing clusters 'b' from 'c'",1,1,3,1,"128","V4, V7","V 3, V 4",NA,-20,-6,-2,"Some, task2 bc contains same var. 'somewhat' unselected by default",-2
"1_MU00163053_001","1","grand","2","2","210","Very important distinguishing clusters 'a' from 'b'",1,1,3,1,"149","V1, V4","V 3, V 5",NA,-14,-28,-16,"Some, task2 bc contains same var. 'somewhat' unselected by default",-2
"1_MU00163053_001","1","grand","2","3","210","Somewhat important distinguishing clusters 'a' from 'b'",1,1,3,1,"181","V6, V7","V 4, V 8",NA,-20,-6,-4,"Some, task2 bc contains same var. 'somewhat' unselected by default",-2
"1_MU00163053_001","1","grand","2","1","210","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","grand","2","2","210","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","grand","2","3","216","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","grand","2","1","216","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","grand","2","2","216","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","grand","2","3","216","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","manual","1","1","205","How many clusters do you see?",19,28,4,1,"68","2","3",NA,NA,NA,NA,"no",1
"1_MU00163053_001","1","manual","1","2","211","How many clusters do you see?",19,22,6,0,"50","4","4",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","manual","1","3","217","How many clusters do you see?",18,17,5,0,"52","4","4",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","manual","2","1","206","Very important distinguishing clusters 'a' from 'b'",31,48,3,1,"86","V1, V2","V 2, V 3, V 5",NA,-13,-24,-12,"Some, task2 bc contains same var. 'somewhat' unselected by default",-1
"1_MU00163053_001","1","manual","2","2","206","Somewhat important distinguishing clusters 'a' from 'b'",25,37,4,0,"63","V1, V2","V 1",NA,-7,-20,-4,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","manual","2","3","206","Very important distinguishing clusters 'b' from 'c'",25,21,5,0,"31","V1, V3","V 1, V 3, V 5",NA,-4,-12,-4,"Some, task2 bc contains same var. 'somewhat' unselected by default",0
"1_MU00163053_001","1","manual","2","1","206","Somewhat important distinguishing clusters 'b' from 'c'",25,21,5,0,"32","V6","V 6",NA,-9,-1,0,"Some, task2 bc contains same var. 'somewhat' unselected by default",0
"1_MU00163053_001","1","manual","2","2","212","Very important distinguishing clusters 'a' from 'b'",25,21,5,0,"120","V1, V2, V3","V 3",NA,-4,-12,-8,"Some, task2 bc contains same var. 'somewhat' unselected by default",0
"1_MU00163053_001","1","manual","2","3","212","Somewhat important distinguishing clusters 'a' from 'b'",25,21,5,0,"104","V6, V7","V 1, V 6, V 7",NA,-9,-1,-1,"Some, task2 bc contains same var. 'somewhat' unselected by default",0
"1_MU00163053_001","1","manual","2","1","212","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","manual","2","2","212","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","manual","2","3","218","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","manual","2","1","218","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","manual","2","2","218","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","manual","2","3","218","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey1",NA,NA,"What gender are you?",NA,NA,NA,NA,"4","female",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey2",NA,NA,"What age are you?",NA,NA,NA,NA,"6","20 to 29",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey3",NA,NA,"Is english is your primary language?",NA,NA,NA,NA,"14","Honors, masters, mba",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey4",NA,NA,"What is your highest completed education?",NA,NA,NA,NA,"21","7",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey5",NA,NA,"I am experienced with data visualization.",NA,NA,NA,NA,NA,"5 (default)",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey6",NA,NA,"I have education in multivariate statistical analysis.",NA,NA,NA,NA,NA,"5 (default)",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey7_1",NA,NA,"I was already familiar with this visualization.",NA,NA,NA,NA,"33","9",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey8_1",NA,NA,"I found this visualization easy to use.",NA,NA,NA,NA,"40","7",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey9_1",NA,NA,"I felt confident in my answers with this visualization.",NA,NA,NA,NA,"46","4",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey10_1",NA,NA,"I liked using this visualization.",NA,NA,NA,NA,"49","4",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey7_2",NA,NA,"I was already familiar with this visualization.",NA,NA,NA,NA,"53","1",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey8_2",NA,NA,"I found this visualization easy to use.",NA,NA,NA,NA,"58","6",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey9_2",NA,NA,"I felt confident in my answers with this visualization.",NA,NA,NA,NA,"66","7",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey10_2",NA,NA,"I liked using this visualization.",NA,NA,NA,NA,"70","7",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey7_3",NA,NA,"I was already familiar with this visualization.",NA,NA,NA,NA,"82","3",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey8_3",NA,NA,"I found this visualization easy to use.",NA,NA,NA,NA,"91","3",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey9_3",NA,NA,"I felt confident in my answers with this visualization.",NA,NA,NA,NA,"4","5 (default)",NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","survey","survey10_3",NA,NA,"I liked using this visualization.",NA,NA,NA,NA,"6","5 (default)",NA,NA,NA,NA,NA,NA,1
