"user_id","factor","taskblock","sim_id","question","interaction","duration","response","answer","score","concern"
"3_MU00163053_002","grand","p3","218","Somewhat important distinguishing clusters 'a' from 'b'",1,"(default)","none (default)","V 6",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p3","218","Very important distinguishing clusters 'b' from 'c'",1,"26","V1","V 3",-8,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p3","218","Somewhat important distinguishing clusters 'b' from 'c'",1,"43","V3, V4, V5, V6, V7","V 1, V 6, V 7",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","survey","survey1",NA,"What gender are you?",NA,"3","male",NA,NA,NA
"3_MU00163053_002","survey","survey2",NA,"What age are you?",NA,"5","30 to 39",NA,NA,NA
"3_MU00163053_002","survey","survey3",NA,"What is your highest level of completed education?",NA,"8","Undergraduate",NA,NA,NA
"3_MU00163053_002","survey","survey4",NA,"I am experienced with data visualization.",NA,"11","7",NA,NA,NA
"3_MU00163053_002","survey","survey5",NA,"I have education in multivariate statistical analysis.",NA,"17","8",NA,NA,NA
"3_MU00163053_002","survey_manual","survey6_manual",NA,"I was already familiar with this visualization.",NA,"29","9",NA,NA,NA
"3_MU00163053_002","survey_manual","survey7_manual",NA,"I found this visualization easy to use.",NA,"46","6",NA,NA,NA
"3_MU00163053_002","survey_manual","survey8_manual",NA,"I felt confident in my answer with this visualization.",NA,"55","7",NA,NA,NA
"3_MU00163053_002","survey_manual","survey9_manual",NA,"I liked using this visualization.",NA,"68","4",NA,NA,NA
"3_MU00163053_002","survey_pca","survey6_pca",NA,"I was already familiar with this visualization.",NA,"36","8",NA,NA,NA
"3_MU00163053_002","survey_pca","survey7_pca",NA,"I found this visualization easy to use.",NA,"44","7",NA,NA,NA
"3_MU00163053_002","survey_pca","survey8_pca",NA,"I felt confident in my answer with this visualization.",NA,"57","6",NA,NA,NA
"3_MU00163053_002","survey_pca","survey9_pca",NA,"I liked using this visualization.",NA,"75","5",NA,NA,NA
"3_MU00163053_002","survey_grand","survey6_grand",NA,"I was already familiar with this visualization.",NA,"34","7",NA,NA,NA
"3_MU00163053_002","survey_grand","survey7_grand",NA,"I found this visualization easy to use.",NA,"40","9",NA,NA,NA
"3_MU00163053_002","survey_grand","survey8_grand",NA,"I felt confident in my answer with this visualization.",NA,"60","6",NA,NA,NA
"3_MU00163053_002","survey_grand","survey9_grand",NA,"I liked using this visualization.",NA,"69","7",NA,NA,NA
