"id","var","p","n_cl","pnoise","LD1_prop_var","LD2_prop_var","LD3_prop_var","LD1","LD2","LD3","var_rating","var_corr"
13,"V8",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,-1.93797279295197,0.0906053240815563,0.855725437510062,NA,NA
13,"V9",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,0.892374601956376,-0.514665594359155,0.243984397626292,NA,NA
13,"V10",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,0.24006414973602,-0.0368785762222751,-0.208255318290476,NA,NA
14,"V1",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,-0.0807137144162061,0.172218105874271,0.120675996120174,NA,NA
14,"V2",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,0.305941778976525,0.122301847500101,0.469712400547332,NA,NA
14,"V3",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,0.622432961357283,-0.0993738222703617,0.0211294434969337,NA,NA
14,"V4",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,0.208520024132505,0.129363000702906,0.118943480205334,NA,NA
14,"V5",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,0.348991405201812,0.642562245000586,-0.0285508823164701,NA,NA
14,"V6",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,0.464006096743349,-2.04362218575561,-0.676028869060858,NA,NA
14,"V7",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,0.247126956627345,0.450961725527608,-1.23742418680169,NA,NA
14,"V8",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,-0.24943105887826,0.106298955757585,-0.130177627276707,NA,NA
14,"V9",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,-2.95839911513106,0.441612562388358,-0.245148689248694,NA,NA
14,"V10",10,4,5,0.659503122987835,0.325207115128539,0.0152897618836255,-0.012303211045331,-0.390360644106558,0.119608176173354,NA,NA
15,"V1",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,0.0285992237225923,-0.00342215577085184,0.122623529905344,NA,NA
15,"V2",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,-0.0155757013726836,-0.0282746067463883,0.305424188440137,NA,NA
15,"V3",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,1.93638569031067,-2.03817630297747,-0.723375280404541,NA,NA
15,"V4",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,-1.29765513294345,-1.07673686344835,0.643500079635793,NA,NA
15,"V5",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,1.65405211153338,0.509767832326473,1.82769874636711,NA,NA
15,"V6",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,-0.11212210051276,-0.00675798393252428,0.0512167354891883,NA,NA
15,"V7",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,0.0208669558535466,1.43631312347629,-0.847076845174416,NA,NA
15,"V8",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,-0.229980051687989,-0.165848619219982,-1.31972185756662,NA,NA
15,"V9",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,-0.136994109764952,-0.164207668568053,0.0211703630168836,NA,NA
15,"V10",10,4,5,0.629031950278094,0.195102846268828,0.175865203453079,0.0223358771747209,0.153764362279324,-0.192987042613798,NA,NA
16,"V1",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,-0.0114509173856754,-0.00412340901385448,-0.083393682698273,NA,NA
16,"V2",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,-0.693963703279895,-0.381794909476114,-0.824202951993916,NA,NA
16,"V3",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,0.0532575457622892,-0.0797385085582653,-0.163179549249211,NA,NA
16,"V4",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,-0.140615567902667,0.0650061273764964,-0.292515635123925,NA,NA
16,"V5",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,1.52285952163569,1.8906874904139,0.405439921159648,NA,NA
16,"V6",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,-1.4687273062724,0.581852829220751,1.76454323877018,NA,NA
16,"V7",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,-0.11392925370365,0.140301758180876,-0.100191806946556,NA,NA
16,"V8",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,1.28379257951883,-1.00687167642373,0.348461742086985,NA,NA
16,"V9",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,0.0330251881823664,-0.0342325836465869,-0.139073150174462,NA,NA
16,"V10",10,4,5,0.687286939911059,0.216750334436022,0.0959627256529194,0.444146705528845,-1.01551474482325,0.3612075798343,NA,NA
17,"V1",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,-2.85294861651758,1.09871606594541,-1.51056827810678,NA,NA
17,"V2",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,-0.0393976720949206,0.0990090025913841,-0.12231654417833,NA,NA
17,"V3",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,0.141719594014647,-0.512069047188258,0.652406552395385,NA,NA
17,"V4",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,-0.0340004335724566,0.0960053434715376,-0.211844473264479,NA,NA
17,"V5",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,1.04295264068452,0.544831033452407,0.233786879567117,NA,NA
17,"V6",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,1.48894662811019,-0.477576209633288,-2.24153106398053,NA,NA
17,"V7",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,0.0259382357728957,0.0307458668198866,0.112954315696414,NA,NA
17,"V8",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,-0.514473921211715,-1.86703280133352,-0.519835554180752,NA,NA
17,"V9",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,0.253601905490339,0.0865178249563705,0.510409432526328,NA,NA
17,"V10",10,4,5,0.908150986110979,0.0648178805080982,0.0270311333809225,-0.0668096162241588,0.184768139328366,0.192219400304898,NA,NA
18,"V1",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-0.048607202176793,0.00260530509553963,-0.0250039848872821,NA,NA
18,"V2",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,0.0841080138217816,-0.545919944051686,0.0138307782789047,NA,NA
18,"V3",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-0.0752580695469095,-0.145537718898036,0.112250096732413,NA,NA
18,"V4",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,1.24062860576722,1.411483365411,-0.824289179440024,NA,NA
18,"V5",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-0.0154420465462935,-0.142658554152808,0.131688466438143,NA,NA
18,"V6",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-0.270153267739069,-0.448467904525743,-0.1508723114114,NA,NA
18,"V7",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-0.0150161564134187,0.348776776553161,0.0583475957012591,NA,NA
18,"V8",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,1.05312245201415,-0.132688774223077,-0.461423909823211,NA,NA
18,"V9",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-0.07536912165648,1.12905881058837,1.44887500866775,NA,NA
18,"V10",10,4,5,0.628175197225778,0.26165604051334,0.110168762260882,-2.02823317387372,0.634928728082859,-1.16371136402205,NA,NA
19,"V1",6,3,2,0.780964629062584,0.219035370937416,NA,0.00733845488393495,-0.243632261259314,NA,NA,NA
19,"V2",6,3,2,0.780964629062584,0.219035370937416,NA,0.0213602626974873,-0.140716923009578,NA,NA,NA
19,"V3",6,3,2,0.780964629062584,0.219035370937416,NA,-2.06378548139628,-0.466276111060791,NA,NA,NA
19,"V4",6,3,2,0.780964629062584,0.219035370937416,NA,1.94047256052423,0.313152665495895,NA,NA,NA
19,"V5",6,3,2,0.780964629062584,0.219035370937416,NA,-0.230829049602545,1.54622026508242,NA,NA,NA
19,"V6",6,3,2,0.780964629062584,0.219035370937416,NA,-0.618586197390048,1.04694100584145,NA,NA,NA
20,"V1",6,3,2,0.814905261779143,0.185094738220857,NA,1.26421471283734,0.839683515579308,NA,NA,NA
20,"V2",6,3,2,0.814905261779143,0.185094738220857,NA,0.744144404698754,-0.531912671142878,NA,NA,NA
20,"V3",6,3,2,0.814905261779143,0.185094738220857,NA,-1.59994586539373,-1.17963155750932,NA,NA,NA
20,"V4",6,3,2,0.814905261779143,0.185094738220857,NA,0.185878584174891,-0.368794217287417,NA,NA,NA
20,"V5",6,3,2,0.814905261779143,0.185094738220857,NA,-0.0584299149403045,-0.0889151856722298,NA,NA,NA
20,"V6",6,3,2,0.814905261779143,0.185094738220857,NA,-1.71223132610433,1.66615869724576,NA,NA,NA
